,State FIPS Code,Labor Force,Employed,Unemployed Level,Unemployed Rate,State Name
0,1,31584.962410171367,29586.053067993365,1933.2709984152139,7.51641791044776,ALABAMA
1,2,12013.253351206435,11110.986648865153,833.9214195183777,9.375156838143035,ALASKA
2,4,178357.0172839506,167327.54320987655,10874.995133819952,9.108275862068973,ARIZONA
3,5,17069.444938271605,16079.505679012345,962.8363721365124,6.589609195402294,ARKANSAS
4,6,296188.4343112245,274381.96875,21513.228301886793,8.961533888228312,CALIFORNIA
5,8,38234.935558112775,36334.83889528194,1824.2706849315068,5.16109913793104,COLORADO
6,9,228231.9212962963,215265.25925925927,12966.662037037036,5.4754310344827575,CONNECTICUT
7,10,139966.4938271605,132892.28395061727,7074.20987654321,4.979310344827582,DELAWARE
8,11,333406.6296296296,308435.77777777775,24970.85185185185,7.420689655172414,DISTRICT OF COLUMBIA
9,12,124341.2736318408,116743.73355444997,7378.24115755627,6.169325784868758,FLORIDA
10,13,27107.05819366853,25483.532697230625,1557.9674994472696,6.663630448926479,GEORGIA
11,15,155539.07407407407,148362.0185185185,7062.354545454546,5.499137931034483,HAWAII
12,16,15652.840604026846,14802.60654362416,819.8946951702296,6.105877742946704,IDAHO
13,17,62593.97421931736,58522.6510530138,3906.1909216909216,6.435294117647061,ILLINOIS
14,18,34125.64331723027,32257.15418679549,1819.4833720030936,5.752248875562224,INDIANA
15,19,16377.008230452675,15719.397306397306,639.4606188466948,4.12998955067921,IOWA
16,20,13546.16825061598,12911.055614220344,611.703373015873,4.105878489326769,KANSAS
17,21,16271.667901234568,15253.42024066646,985.3678362573099,7.271522988505752,KENTUCKY
18,22,31760.42303240741,29750.63425925926,1950.7872222222222,7.286753528773073,LOUISIANA
19,23,42156.78009259259,39832.31018518518,2289.2420814479638,6.072844827586212,MAINE
20,24,121091.60648148147,114834.55555555556,6140.2250755287005,5.758764367816099,MARYLAND
21,25,243254.42857142858,229993.66666666666,13125.232984293194,5.482019704433504,MASSACHUSETTS
22,26,58668.381526104415,54596.13062862238,3944.9978204010463,8.107436643124215,MICHIGAN
23,27,32243.25883354619,30787.62196679438,1403.879240710824,5.295323028141099,MINNESOTA
24,28,15507.475180505415,14445.114169675091,1038.592258064516,8.136585365853666,MISSISSIPPI
25,29,25592.95813204509,24159.11884057971,1380.1784080512352,6.084287856071956,MISSOURI
26,30,8374.637133550488,7920.202210663199,430.25062034739454,5.207389162561574,MONTANA
27,31,10127.152028357621,9796.281496062993,320.15204460966544,3.0855765665554338,NEBRASKA
28,32,66321.80129589632,61794.261339092875,4346.522727272727,6.566125760649084,NEVADA
29,33,69615.45555555556,66610.19259259259,2955.6702898550725,4.213103448275863,NEW HAMPSHIRE
30,34,206495.417989418,193671.77601410935,12823.641975308641,6.307881773399017,NEW JERSEY
31,35,26162.101675977654,24529.886033519553,1583.0075107296138,6.98986415882968,NEW MEXICO
32,36,149068.5173237754,139676.5328554361,9329.357651245551,6.12797552836484,NEW YORK
33,37,42656.73370370371,40132.88037037037,2467.8498920086395,6.557206896551718,NORTH CAROLINA
34,38,6794.643104643104,6561.759169550173,221.46505551926845,3.7826284970722153,NORTH DAKOTA
35,39,65052.60774410774,61125.44570707071,3882.359336099585,6.797100313479619,OHIO
36,40,21930.65704665705,20873.854256854258,1019.9572921399364,5.143484102104782,OKLAHOMA
37,41,50660.9018404908,47291.30674846626,3291.1073558648113,7.608524904214566,OREGON
38,42,92508.81923714759,87042.31453841901,5404.600982532751,6.368399382398365,PENNSYLVANIA
39,44,109009.63703703704,101666.56296296297,7343.074074074074,6.149655172413795,RHODE ISLAND
40,45,44293.76409017713,41477.281803542675,2778.556170886076,7.741304347826087,SOUTH CAROLINA
41,46,6260.660913140312,6040.568965517241,212.13979057591624,4.072361546499465,SOUTH DAKOTA
42,47,30413.147758284602,28629.063547758284,1736.589580209895,7.098475499092559,TENNESSEE
43,48,43569.87712171768,41043.90543872371,2413.5206805920598,5.745642139560131,TEXAS
44,49,41752.9123252859,39916.269377382465,1762.4480676328503,5.35980975029727,UTAH
45,50,24104.719576719577,23063.335978835978,1020.1503759398496,4.804187192118228,VERMONT
46,51,28725.813700918963,27416.62851573378,1260.700052714813,5.411304122374909,VIRGINIA
47,53,81653.79487179487,76365.14516129032,5093.5624421831635,7.83174182139699,WASHINGTON
48,54,14426.853198653198,13410.513131313131,985.7495219885277,7.9575548589341745,WEST VIRGINIA
49,55,41382.937757201646,39313.476851851854,2018.5864811133201,5.634339080459765,WISCONSIN
50,56,11982.410628019325,11421.032206119162,545.3861236802413,4.5283358320839575,WYOMING
51,72,15832.62239089184,13739.718216318786,2069.863403263403,15.327497789566763,PUERTO RICO
