,LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Labor Force,Employed,Unemployed Level,Unemployed Rate
0,CN0100100000000,1,1," Autauga County, AL",22634.40740740741,21403.85185185185,1205.1724137931035,5.2862068965517235
1,CN0100300000000,1,3," Baldwin County, AL",73541.62962962964,69539.88888888889,4001.740740740741,5.255172413793103
2,CN0100500000000,1,5," Barbour County, AL",10709.555555555555,9815.407407407407,875.0,8.237931034482761
3,CN0100700000000,1,7," Bibb County, AL",8374.851851851852,7735.037037037037,622.2758620689655,7.448275862068966
4,CN0100900000000,1,9," Blount County, AL",23787.296296296296,22550.444444444445,1214.4137931034484,5.062068965517242
5,CN0101100000000,1,11," Bullock County, AL",4377.037037037037,3892.037037037037,475.2068965517241,11.013793103448274
6,CN0101300000000,1,13," Butler County, AL",9258.62962962963,8355.333333333334,879.6551724137931,9.49655172413793
7,CN0101500000000,1,15," Calhoun County, AL",51464.444444444445,47864.37037037037,3600.074074074074,6.820689655172413
8,CN0101700000000,1,17," Chambers County, AL",16220.037037037036,14970.0,1228.0,7.655172413793104
9,CN0101900000000,1,19," Cherokee County, AL",10989.444444444445,10315.592592592593,662.7931034482758,6.024137931034483
10,CN0102100000000,1,21," Chilton County, AL",18502.14814814815,17348.62962962963,1125.1724137931035,6.141379310344826
11,CN0102300000000,1,23," Choctaw County, AL",5589.333333333333,5015.185185185185,556.8965517241379,9.820689655172416
12,CN0102500000000,1,25," Clarke County, AL",10847.222222222223,9698.74074074074,1113.655172413793,10.496551724137932
13,CN0102700000000,1,27," Clay County, AL",6106.740740740741,5664.333333333333,431.7241379310345,7.134482758620692
14,CN0102900000000,1,29," Cleburne County, AL",6539.148148148148,6155.074074074074,374.6896551724138,5.793103448275861
15,CN0103100000000,1,31," Coffee County, AL",20610.074074074073,19431.14814814815,1151.344827586207,5.596551724137932
16,CN0103300000000,1,33," Colbert County, AL",24978.074074074073,23054.037037037036,1924.037037037037,7.524137931034482
17,CN0103500000000,1,35," Conecuh County, AL",5415.333333333333,4863.2962962962965,535.0689655172414,9.86206896551724
18,CN0103700000000,1,37," Coosa County, AL",4883.259259259259,4529.074074074074,347.55172413793105,7.210344827586206
